,type,registration,operator,country,cat,new_date,new_fatalities
61,Caproni Ca.48,D2-ECL,Caproni,Italy,A1,2019-08-02,14
62,Felixstowe Fury,N123,RAF,U.K.,A1,2019-08-11,1
63,Handley Page O/7,G-EANV,Handley Page Transport,South Africa,A1,2020-02-23,0
64,Handley Page O/400,G-EAMC,Handley Page Transport,Sudan,A1,2020-02-25,0
65,Handley Page O/400,G-EAKE,Handley Page Transport,Sweden,A1,2020-06-30,0
66,Handley Page O/400,G-EAMA,Handley Page Transport,U.K.,A1,2020-12-14,4
67,Aeromarine 75,VH-SBQ,Aeromarine Airways,Cuba,O1,2021-01-15,0
68,Handley Page O/7,G-IAAC,HP Indo-Burmese Transport,India,O1,2021-03-02,0
69,Caproni Ca.60 Noviplano,NAF203,Caproni,Italy,A1,2021-03-04,0
70,Farman F.60 Goliath,O-BLAN,SNETA,France,A1,2021-08-26,2
71,Farman F.60 Goliath,O-BRUN,SNETA,Belgium,O1,2021-09-27,0
72,Farman F.60 Goliath,O-BLEU,SNETA,Belgium,O1,2021-09-27,0
73,Handley Page O/10,G-EATM,Handley Page Transport,France,U1,2021-12-30,6
74,Handley Page O/10,G-EATN,Handley Page Transport,France,A1,2022-01-22,0
75,Handley Page O/7,VR-HDW,Chinese Government,China,A1,2022-03-31,14
76,Farman F.60 Goliath,F-GEAD,Grands Express AÃ©riens,France,A1,2022-04-07,5
77,Aeromarine 75,7772,Aeromarine Airways,Atlantic Ocean,A1,2023-01-13,4
78,Farman F.60 Goliath,F-AEBY,Air Union,France,A1,2023-05-14,6
79,Farman F.60 Goliath,F-AEDL,Air Union,France,A1,2023-06-25,0
80,Handley Page W.8,G-EAPJ,Handley Page Transport,France,A1,2023-07-10,0
81,Farman F.60 Goliath,F-AEEE,Compagnie AÃ©rienne FranÃ§aise,France,A1,2023-07-15,0
82,Farman F.60 Goliath,F-AECB,Air Union,U.K.,A1,2023-08-27,1
83,Farman F.60 Goliath,F-AEIF,Air Union,U.K.,A1,2023-12-03,6
84,Aeromarine 75,HR-AKZ,Aeromarine Airways,Cuba,O1,1923-01-01,0
85,Farman F.60 Goliath,F-GEAO,Air Union,U.K.,A1,2024-01-22,6
86,Farman F.60 Goliath,F-ADDT,Air Union,U.K.,A2,2024-08-06,0
87,Farman F.61 Goliath,F-ADFP,SGTA,Netherlands,A1,2024-08-24,0
88,Farman F.60 Goliath,F-HMFU,Air Union,U.K.,A1,2025-10-16,3
89,Farman F.60 Goliath,F-FHMY,Air Union,France,A2,2025-11-14,0
90,BlÃ©riot 155,F-AIEB,Air Union,U.K.,A1,2026-08-18,4
91,BlÃ©riot 155,F-AICQ,Air Union,U.K.,A1,2026-10-02,7
92,Handley Page W.10,G-EBMS,Imperial Airways,U.K.,A1,2026-10-21,0
93,Junkers G.24,D-944,Deutsche Lufthansa,Germany,A1,2026-11-20,6
94,Farman F.61 Goliath,F-ADFN,SGTA,Atlantic Ocean,A1,2027-05-05,2
95,Fokker F.VIII,H-NADU,KLM,U.K.,A1,2027-08-22,1
96,Handley Page W.8b,G-EBBG,Imperial Airways,France,A1,2028-02-15,0
97,Farman F.60 Goliath,F-AEFC,Air Union,U.K.,A1,2028-03-11,2
98,Fokker F.VIII,H-NAEE,KLM,Netherlands,A1,2028-04-11,0
99,Junkers G.24,D-946,Deutsche Lufthansa,Germany,A1,2028-04-19,0
100,Ford 4-AT-A Tri-Motor,NC1492,Ford Air Freight Lines,USA,A1,2028-05-12,2
101,Farman F.63bis Goliath,F-AEIE,SGTA,Germany,A1,2028-05-23,3
102,Ford 4-AT-B Tri-Motor,G-CATX,British Columbia Airways,USA,A1,2028-08-25,7
103,Junkers G.31de,D-1427,Deutsche Lufthansa,Germany,A1,2028-09-25,0
104,Ford 4-AT-A Tri-Motor,NC880,Stout Air Services,USA,A1,2028-10-13,0
105,Ford 4-AT-B Tri-Motor,NC7687,Spokane Airways,USA,A1,2028-11-23,3
106,Ford 4-AT-C Tri-Motor,NC7862,Sunbeam Air Transport Co.,USA,A1,2028-12-01,5
107,Junkers G.31fi,D-1473,Deutsche Lufthansa,Germany,A1,2028-12-11,3
108,Ford 4-AT-A Tri-Motor,NC3443,Texaco,USA,A1,2028-12-22,0
109,Junkers G.31ce,D-1137,Deutsche Lufthansa,Germany,A1,1928-12-01,6
110,Ford 4-AT-A Tri-Motor,NC1076,Stout Air Services,USA,A1,2029-01-16,0
111,Junkers G.24,D-899,Deutsche Lufthansa,France,A1,1929-02-01,6
112,Ford 4-AT-B Tri-Motor,NC7683,Colonial Western Airlines,USA,A1,2029-03-17,14
113,Ford 5-AT-B Tri-Motor,NC9674,Ford Motor Company,USA,A1,2029-03-19,4
114,Dornier Do R4 Superwal,I-RIDE,SANA,Italy,O1,2029-04-12,0
115,Ford 5-AT-B Tri-Motor,NC9636,Maddux Airlines,USA,A1,2029-04-21,6
116,Vickers 170 Vanguard,G-EBCP,Vickers-Armstrongs,U.K.,A1,2029-05-16,2
117,Farman F.63bis Goliath,F-GEAI,Air Union,U.K.,A1,2029-05-19,0
118,Fokker F.10A,NC393E,Western Air Express,USA,O1,2029-06-02,0
119,Fokker F.10A,NC9700,Pan Am,Cuba,A1,2029-06-13,2
120,Handley Page W.10,G-EBMT,Imperial Airways,U.K.,A1,2029-06-17,7
121,Ford 5-AT-A Tri-Motor,NC7416,Northwest Airways,USA,A1,2029-06-24,1
122,Junkers G.24li,SE-AAF,AB Aerotransport,Germany,A1,2029-08-29,0
123,Ford 5-AT-B Tri-Motor,NC9649,Transcontinental Air Transport - TAT,USA,A1,2029-09-03,8
124,DH.66 Hercules,G-EBMZ,Imperial Airways,Iran,A1,2029-09-06,3
125,Rohrbach Ro X Romar I,D-1734,Deutsche Lufthansa,Germany,A1,2029-09-10,0
126,Sabca (Handley Page) W.8B,OO-AHK,Sabena,Belgium,A1,2029-10-19,0
127,Short S.8/1 Calcutta,G-AADN,Imperial Airways,Italy,A1,2029-10-26,7
128,Farman F.63bis Goliath,F-FARI,SGTA,Unknown country,U1,1929-10-01,6
129,Junkers G.24bi,D-903,Deutsche Lufthansa,U.K.,A1,2029-11-06,7
130,Rohrbach Ro X Romar I,D-1693,Deutsche Lufthansa,Germany,A1,2029-11-18,0
131,Fokker F.32,NX124M,Fokker Aircraft Corp. of America,USA,A1,2029-11-27,0
132,Curtiss B-2 Condor (Condor 18),29-28,USAAC,USA,A1,2029-12-04,1
133,Farman F.180T,F-AIVR,SGTA,France,O1,2029-12-12,0
134,Fokker F.10,NC5358,Western Air Express,USA,A1,2029-12-26,0
135,Ford 5-AT-C Tri-Motor,NC9689,Maddux Airlines,USA,A1,2030-01-19,16
136,Junkers R-42 (G.24),J6,Chilean AF,Chile,A1,2030-02-07,2
137,Ford 4-AT-A Tri-Motor,NC2492,Private,USA,A1,2030-02-08,0
138,Farman F.63bis Goliath,F-FHMY,Air Union,U.K.,A1,2030-02-10,2
139,DH.66 Hercules,G-EBNA,Imperial Airways,Israel,A1,2030-02-14,0
140,Fokker F.10A,NC279E,Western Air Express,USA,A1,2030-02-23,3
141,Ford 4-AT-A Tri-Motor,R-131,NYRBA,Argentina,A1,2030-03-02,0
142,Ford 5-AT-C Tri-Motor,R-148,Tri-Motor Safety Airways,Argentina,A1,2030-04-08,6
143,Handley Page W.9a Hampstead,VH-ULK,Ellyou Goldfields Development,P.N. Guinea,A1,2030-05-31,6
144,Ford 5-AT-B Tri-Motor,NC9675,Colonial Air Transport,USA,A1,2030-06-05,1
145,Ford 5-AT-A Tri-Motor,NC7739,Northwest Airways,USA,O1,2030-06-25,0
146,Fokker F.10A,NC457E,Universal Airlines,USA,O1,2030-06-25,0
147,Fokker F.10A,NC879E,Universal Airlines,USA,O1,2030-06-25,0
148,Fokker F.10A,NC803E,Universal Airlines,USA,O1,2030-06-25,0
149,Fokker F.10A,NC135E,Universal Airlines,USA,O1,2030-06-25,0
150,Fokker F.10,NC8010,Shell Oil,USA,O1,2030-06-25,0
151,Fokker F.10,NC5614,Northern Airlines,USA,O1,2030-06-25,0
152,Farman F.63bis Goliath,F-ADFQ,SGTA,Netherlands,A1,2030-07-09,1
153,Curtiss Condor 18,NC.....,Curtiss,USA,A1,2030-07-12,6
154,Ford JR-3 (5-AT-C) Tri-Motor,A8598,USMC,Nicaragua,A1,2030-08-04,0
155,Ford 5-AT-C Tri-Motor,OK-FOR,CSA,Czech Rep.,A1,2030-08-22,12
156,Fokker F.10A,NC810H,Pan Am,Dominican Rep.,O1,2030-09-03,0
157,Handley Page W.8g,G-EBIX,Imperial Airways,France,A1,2030-10-30,3
158,Junkers G.24,P-BAHA,Syndicato Condor,Brazil,A1,2030-11-07,1
159,Ford 4-AT-B Tri-Motor,NC7118,Curtiss-Wright Flying Service,USA,O1,2030-11-21,0
160,Dornier Do R4 Superwal,I-RONY,SANA,Mediterranean Sea,A1,2030-11-21,6
161,Fokker F.10A,NC580K,Southern Air Fast Express,USA,U1,2030-11-22,6
162,Ford 5-AT-C Tri-Motor,NX419H,Ford Motor Company,USA,A1,2030-11-24,2
163,Ford 4-AT-E Tri-Motor,NC9611,Pittsburgh Airways,USA,A1,2030-12-20,6
164,Fokker F.10,NC5170,Western Air Express,USA,A1,2030-12-22,0
165,Junkers JuG-1W (G.24),NC28384,Soviet AF,Russia,A1,1930-01-01,6
166,Ford 5-AT-B Tri-Motor,NC9647,TWA,USA,A1,2031-01-27,0
167,Ford Tri-Motor,YV-135C,Panagra,Peru,H2,2031-02-21,0
168,Fokker F.10A,NC999E,TWA,USA,A1,2031-03-31,8
169,Ford 5-AT-C Tri-Motor,NC8418,Panagra,Chile,A1,2031-04-01,0
170,Ford 5-AT-C Tri-Motor,CV-FAI,Private,India,A1,2031-04-17,0
171,Junkers F.24ko (G.24),D-896,Deutsche Lufthansa,France,A2,2031-04-18,0
172,DH.66 Hercules,G-EBMW,Imperial Airways,Indonesia,A1,2031-04-19,0
173,A.W. Argosy II,G-AACH,Imperial Airways,U.K.,A1,2031-04-22,0
174,Ford 5-AT-C Tri-Motor,NC421H,National Air Transport,USA,A1,2031-04-29,0
175,Junkers G.24,SE-AAG,AB Aerotransport,Sweden,O1,2031-06-11,0
176,A.W. Argosy IA,G-EBLO,Imperial Airways,Egypt,A1,2031-06-16,0
177,Fokker F.IX,PH-AFK,KLM,Netherlands,A1,2031-08-04,0
178,Fokker F.10A,X-ABCR,Mexicana,USA,A1,2031-08-07,6
179,Ford 5-AT-B Tri-Motor,NC9662,American Airways,USA,A1,2031-08-09,6
180,Ford 5-AT-B Tri-Motor,NC9554,TWA,USA,A1,2031-08-19,0
181,Sikorsky S.41B,NC41V,Boston-Maine Airways,USA,A1,2031-08-27,1
182,Ford XB-906 (Tri-Motor),NX9652,Ford Motor Company,USA,A1,2031-09-19,2
183,Ford 5-AT-C Tri-Motor,NC427H,National Air Transport,USA,A1,2031-10-27,0
184,Ford 4-AT-E Tri-Motor,NC7119,TWA,USA,A1,2031-12-19,1
185,Fokker F.10A,NC812H,Transamerican Airlines,USA,O1,2032-02-08,6
186,Ford 4-AT-B Tri-Motor,NC4805,Skyway,USA,O1,2032-03-15,0
187,Fokker F.10A,NC652E,American Airways,USA,A1,2032-03-19,7
188,Junkers PS-5 (G.24),CCCP-L718,Dobrolet,Russia,A1,2032-06-27,6
189,Boeing 80A,NC229M,Boeing Air Transport,USA,A1,2032-07-10,0
190,Ford 5-AT-C Tri-Motor,NC403H,Panagra,Chile,A1,2032-07-16,9
191,Junkers Ju-52/3mce,D-2201,Deutsche Lufthansa,Germany,A2,2032-07-29,0
192,Junkers G.24,SE-AAE,AB Aerotransport,Netherlands,A1,2032-08-31,2
193,Fokker F.10A,NC9716,American Airways,USA,A1,2032-09-08,3
194,LiorÃ© et Olivier 212,F-AIFE,Air Union,U.K.,A1,2032-09-17,1
195,Ford 5-AT-B Tri-Motor,NC9664,Pan Am,Honduras,A1,2032-10-02,0
196,Ford 5-AT-D Tri-Motor,unreg.,LAB,Bolivia,A1,2032-10-26,2
197,Fokker F.10A,NC39N,Western Air Express,USA,U1,2032-12-11,6
198,Ford 5-AT-B Tri-Motor,NC9650,TWA,USA,A1,2032-12-14,2
199,LiorÃ© et Olivier 213,F-AJNS,Air Union,France,A1,2033-01-13,0
200,Curtiss Condor 18,NC185H,Eastern Air Transport,USA,A1,2033-01-14,2
201,Ford 5-AT-D Tri-Motor,NC431H,Pacific Air Transport,USA,A1,2033-01-24,2
202,Ford 5-AT-B Tri-Motor,NC9666,TWA,USA,A1,2033-02-10,0
203,Ford JR-3 (5-AT-C) Tri-Motor,A8599,USMC,USA,A1,2033-03-22,0
204,A.W. Argosy II,G-AACI,Imperial Airways,Belgium,A1,2033-03-28,15
205,Ford 4-AT-B Tri-Motor,NC7686,Private,USA,A1,2033-03-31,7
206,Junkers Ju-52/1mcai,D-2356,RDL,Germany,A1,2033-05-27,6
207,Ford 4-AT-E Tri-Motor,NR9614,Plane Speaker Corporation,USA,O1,2033-06-02,0
208,Dornier Do R4 Superwal,I-RATA,SANA,Spain,A1,2033-08-11,0
209,Junkers PS-5 (G.24),CCCP-L743,Dobrolet,Russia,U1,2033-08-13,6
210,Ford 5-AT-B Tri-Motor,NC9607,TWA,USA,A1,2033-08-29,5
211,Curtiss T-32 Condor II,NC12373,Eastern Air Transport,USA,A1,2033-09-21,0
212,Ford 4-AT-B Tri-Motor,NC4806,Private,Nicaragua,A1,2033-10-18,3
213,LiorÃ© et Olivier 213,F-AIFD,Air France,France,A1,2033-11-16,0
214,Kalinin K-7,2322,Kalinin Design Bureau,Ukraine,A1,2033-11-21,15
215,Fokker F.10A,X-ABEA,AerovÃ­as Centrales,Mexico,A1,2033-11-24,6
216,Dewoitine D.332,F-AMMY,Air France,France,A1,2034-01-15,10
217,Ford 4-AT-B Tri-Motor,NC7120,Morgan Air Lines,Honduras,A1,2034-03-05,1
218,Junkers F.24k2ay (G.24),D-1019,Deutsche Lufthansa,Poland,A1,2034-03-10,6
219,Ford 5-AT-C Tri-Motor,NC407H,Panagra,Peru,A1,2034-03-22,4
220,LiorÃ© et Olivier 213,F-AIVG,Air France,U.K.,A1,2034-05-31,2
221,Curtiss T-32 Condor II,NC12354,American Airways,USA,A1,2034-06-09,7
222,Ford C-4A (5-AT-D) Tri-Motor,31-403,USAAC,USA,A1,2034-06-11,0
223,Ford 5-AT-C Tri-Motor,NC8417,Panagra,Argentina,A1,2034-06-11,5
224,Ford 4-AT-B Tri-Motor,NC7685,Mulzer Flying Service,USA,O1,2034-06-23,0
225,Ford 4-AT-D Tri-Motor,NC7586,Private,USA,A1,2034-07-01,0
226,Curtiss AT-32C Condor II,CH-170,Swissair,Germany,A1,2034-07-27,12
227,Junkers PS-5 (G.24),CCCP-L742,Dobrolet,Russia,A1,2034-08-23,6
228,Ford 5-AT-D Tri-Motor,NC9655,Hanford's Tri-State Airlines,USA,A1,2034-09-02,0
229,Handley Page W.10,G-EBMM,National Aviation Displays,U.K.,A1,2034-09-22,4
230,Fokker F.10A,X-ABCS,Mexicana,Mexico,A1,2034-09-27,6
231,DH.86 Express,VH-URN,Holyman's Airways,Australia,A1,2034-10-19,11
232,Ford 4-AT-E Tri-Motor,NC8403,Ptarmigan Airlines,USA,A1,2034-10-26,0
233,Ford 4-AT-.  Tri-Motor,4X-FPS/037,TACA de Honduras,Honduras,O1,2034-10-29,0
234,Junkers Ju-52/3mge,D-AVAN,Deutsche Reichsbahn-Gesellschaft,Poland,A1,2034-11-06,5
235,DH.86 Express,VH-USG,Qantas,Australia,A1,2034-11-15,4
236,Ford 4-AT-E Tri-Motor,NM-7,Cubana,Cuba,A1,2034-12-10,4
237,Curtiss AT-32B Condor II,NC12395,American Airways,USA,A1,2034-12-19,0
238,Douglas DC-2-115A,PH-AJU,KLM,Iraq,A1,2034-12-20,7
239,Curtiss T-32C Condor II,NC12363,American Airways,USA,A1,2034-12-28,0
240,Ford 4-AT-B Tri-Motor,NC9609,Private,Mexico,O1,1934-01-01,0
241,Curtiss T-32 Condor II,NC12376,Eastern Air Transport,USA,A1,2035-01-23,6
242,Junkers Ju-52/3mge,D-AREN,Deruluft,Poland,A1,2035-01-31,11
243,Fokker F.XII,PH-AFL,KLM,Germany,A1,2035-04-06,7
244,Consolidated 16 Commodore,NC660M,Pan Am,USA,O1,2035-04-16,0
245,Junkers Ju-52/3mho,D-AJYR,Deutsche Lufthansa,Germany,A1,2035-04-25,3
246,Ford 4-AT-B Tri-Motor,NC7863,Private,USA,A1,2035-04-28,0
247,Douglas DC-2-112,NC13785,TWA,USA,A1,2035-05-06,5
248,Ford 4-AT-.  Tri-Motor,42-100481,private,Guatemala,A1,2035-05-07,1
249,Tupolev ANT-20 Maxim Gorky,CCCP-I20,Tupolev,Russia,A1,2035-05-18,44
250,Ford 4-AT-E Tri-Motor,NC7864,Knowles Flying Service,USA,A1,2035-05-18,3
251,Savoia-Marchetti S-66,I-NAVE,Ala Littoria,Malta,A1,2035-06-22,0
252,Ford 5-AT-B Tri-Motor,F-31,SACO,Colombia,A1,2035-06-24,10
253,Ford 5-AT-D Tri-Motor,C-31,SCADTA,Colombia,A1,2035-06-24,7
254,Savoia-Marchetti S-66,I-REDI,Ala Littoria,Spain,A1,2035-07-09,0
255,Fokker F.XXII,PH-AJQ,KLM,Netherlands,A1,2035-07-14,6
256,Douglas DC-2-115E,PH-AKM,KLM,Iran,A1,2035-07-17,0
257,Douglas DC-2-115E,PH-AKG,KLM,Switzerland,A1,2035-07-20,13
258,Junkers Ju-52/3m,42-55982,German AF,Germany,A1,2035-07-22,11
259,Curtiss AT-32B Condor II,NC12393,American Airways,USA,A1,2035-07-27,0
260,Douglas DC-2-112,NC13722,TWA,USA,A1,2035-08-03,0
261,DH.86 Express,VH-URT,Holyman's Airways,Australia,A1,2035-10-02,5
262,Douglas DC-2A-127,NC14285,Standard Oil Company,USA,A1,2035-10-06,3
263,Curtiss Condor 18,NC725K,Chamberlin Flying Service,USA,A1,2035-10-21,1
264,DH.86 Express,G-ADCM,Imperial Airways,Austria,A1,2035-10-22,0
265,Ford 5-AT-C Tri-Motor,61-0328,Private,China,C1,2035-10-24,0
266,Boulton Paul P.71A,G-ACOY,Imperial Airways,Belgium,A1,2035-10-25,0
267,Savoia-Marchetti S.73P,OO-AGM,Sabena,U.K.,A1,2035-11-07,0
268,Ford 5-AT-.  Tri-Motor,PT-LQG,TACA de Honduras,Honduras,A1,2035-11-09,0
269,Short S.17 Kent,G-ABFB,Imperial Airways,Italy,O1,2035-11-09,0
270,Junkers G.24he,PP-CAS,Syndicato Condor,Brazil,A1,2035-11-18,0
271,DH.66 Hercules,G-ABCP,Imperial Airways,Uganda,A1,2035-11-23,6
272,Savoia-Marchetti S.73,OO-AGN,Sabena,U.K.,A1,2035-12-10,11
273,Potez 62,F-ANPH,Air France,France,A1,2035-12-10,0
274,Ford 5-AT-D Tri-Motor,NC433H,Panagra,Peru,A1,2035-12-24,4
275,Short S.8 Calcutta,G-AASJ,Imperial Airways,Egypt,A1,2035-12-31,12
276,Douglas DC-2-120,NC14274,American Airlines,USA,A1,2036-01-14,17
277,Junkers Ju-52/3m,624,Colombian AF,Colombia,A1,2036-01-14,13
278,Junkers Ju-52/3mce,unreg.,LAB,Bolivia,A1,2036-01-17,13
279,Douglas DC-2-115B,HB-ITI,Swissair,Switzerland,A1,2036-02-28,0
280,Ford 5-AT-D Tri-Motor,27,CNAC,China,A1,2036-03-05,0
281,Junkers Ju-52/3m,OE-LAL,ÃLAG,Austria,A1,2036-03-16,0
282,Ford 5-AT-B Tri-Motor,X-ABCO,Mexicana,Mexico,A1,2036-03-26,14
283,Ford 5-AT-D Tri-Motor,25,CNAC,China,A1,2036-03-31,0
284,Douglas DC-2-112,NC13721,TWA,USA,A1,2036-04-07,12
285,Sikorsky S-42,NC824M,Pan Am,Trinidad & Tobago,A2,2036-04-11,3
286,Junkers Ju-52/3m,D-ASOR,Deutsche Lufthansa,Switzerland,A1,2036-04-17,3
287,Douglas DC-2-115K,OK-AIA,CLS,Netherlands,A1,2036-04-20,0
288,LiorÃ©-et-Olivier H.242/1,F-ANQG,Air France,Mediterranean Sea,A1,2036-05-08,0
289,Douglas DC-2-172,NC14979,TWA,USA,A1,2036-05-31,0
290,Junkers G.31fo,D-ABIL,Reichsluftfahrtministerium,Germany,A1,1936-05-01,6
291,Fokker F.XXII,SE-ABA,AB Aerotransport,Sweden,A1,2036-06-09,2
292,Junkers Ju-52/3m,LN-DAE,DNL,Norway,A1,2036-06-16,7
293,Vickers Valentia,K3166,RAF,Egypt,A1,2036-07-07,7
294,Curtiss Condor 18,NC728K,Chamberlin Flying Service,USA,O1,2036-07-09,0
295,Junkers Ju-52/3m,EY-ASS,German AF,Germany,A1,2036-07-20,2
296,Junkers G.38di,D-AZUR,Deutsche Lufthansa,Germany,A1,2036-07-26,0
297,Curtiss T-32C Condor II,2,LAN Chile,Chile,A1,2036-07-29,0
298,Ford 4-AT-B Tri-Motor,NC5811,Private,USA,A1,2036-08-08,0
299,DH.86 Express,G-ADEB,British Airways,Germany,A1,2036-08-12,2
300,Curtiss AT-32A Condor II,NC12392,American Airlines,USA,A1,2036-08-13,0
301,Fokker F.XII,G-ADZI,AviaciÃ³n Nacional,France,A1,2036-08-15,2
302,Fokker F.XII,G-ADZK,AviaciÃ³n Nacional,France,A1,2036-08-16,0
303,Short S.17 Kent,G-ABFA,Imperial Airways,Greece,A1,2036-08-22,2
304,DH.86A Express,G-ADYF,British Airways,U.K.,A1,2036-09-15,3
305,Junkers Ju-52/3mfe,D-AJUX,Deutsche Lufthansa,Germany,A1,2036-09-19,6
306,CANT Z.506,I-RODI,Ala Littoria,Libya,A1,2036-09-24,9
307,Boulton Paul P.71A,G-ACOX,Imperial Airways,U.K.,A1,2036-09-25,2
308,A.W. AW.15 Atalanta,G-ABTK,Imperial Airways,India,O1,2036-09-29,0
309,Douglas DC-2-118B,NC14273,Panagra,Guatemala,A1,2036-10-10,3
310,Junkers Ju-52/3mge,D-APOO,Deutsche Lufthansa,Germany,A1,2036-11-01,10
311,Junkers Ju-52/3mge,22-74,HISMA,Spain,C1,2036-11-04,6
312,Junkers Ju-52/3m,TC-JAL,HISMA,Spain,C1,2036-11-05,6
313,Junkers Ju-52/3mge,D-ASUI,Deutsche Lufthansa,Germany,A1,2036-11-17,4
314,Fokker F.XII,G-AEOT,British Airways,U.K.,A1,2036-11-19,2
315,Junkers Ju-52/3m,N1DK,HISMA,Spain,C1,2036-11-25,6
316,Junkers Ju-52/3m,D-ATAK,Deutsche Lufthansa,Germany,A1,2036-11-28,0
317,Junkers Ju-52/3m,D-ASIH,Deutsche Lufthansa,France,A1,2036-12-03,6
318,Junkers Ju-52/3m,22-78,Condor Legion,Spain,A1,2036-12-08,4
319,Douglas DC-2-115E,PH-AKL,KLM,U.K.,A1,2036-12-09,15
320,Fokker F.XII,45-6,AviaciÃ³n Nacional,Spain,A1,2036-12-16,0
321,Douglas DC-2-112,NC13732,"North American Aviation, op.for Eastern Air Lines",USA,A1,2036-12-19,0
322,Douglas DC-2-118A,28,CNAC,China,A1,2036-12-25,6
323,Short S.8 Calcutta,G-EBVG,Imperial Airways,Greece,O1,2036-12-28,0
324,Douglas DC-2-118B,24,CNAC,China,A2,2036-12-28,6
325,Curtiss AT-32C Condor II,NR11732,CÃ³ndor Peruana de AviaciÃ³n,Peru,A1,1936-01-01,6
326,Junkers Ju-52/3m,22-96,HISMA,Spain,U1,2037-01-03,6
327,Ford 5-AT-C Tri-Motor,NC422H,DePonti Aviation Company,USA,O1,2037-01-20,0
328,Sabca Savoia-Marchetti S.73P,OO-AGR,Sabena,Algeria,A1,2037-01-26,12
329,Douglas DC-3A-197,NC16073,United Airlines,USA,A1,2037-02-09,11
330,Junkers Ju-52/3m,22-58,HISMA,Spain,C1,2037-02-16,6
331,Douglas DC-2-112,NC13734,Eastern Air Lines,USA,A1,2037-02-18,0
332,Junkers Ju-52/3m,22-70,HISMA,Spain,C1,2037-03-13,6
333,DH.86 Express,G-ACVZ,Imperial Airways,Germany,A1,2037-03-16,3
334,Short S.23 Empire Flying Boat Mk I,G-ADVA,Imperial Airways,France,A1,2037-03-24,5
335,Douglas DC-2-112,NC13730,TWA,USA,A1,2037-03-25,13
336,Douglas DC-2-115B,EC-AGK,LAPE,Spain,A1,1937-03-01,6
337,Douglas DC-2-115B,EC-AAY,LAPE,Unknown country,U1,1937-03-01,6
338,Ford 5-AT-C Tri-Motor,NC8410,Star Air Service,USA,A1,2037-04-01,0
339,Douglas DC-3-194B,PH-ALP,KLM,USA,A1,2037-04-03,8
340,Douglas DC-2-115M,EC-BFF,LAPE,Spain,C1,2037-04-06,0
341,Junkers Ju-52/3mg3e,33+K39,German AF,Germany,A1,2037-04-06,6
342,Douglas C-33 (DC-2),36-81,USAAC,USA,A1,2037-05-07,0
343,Ford 4-AT-B Tri-Motor,NC8404,Private,USA,A1,2037-05-29,0
344,Handley Page HP.42E,G-AAXE,Imperial Airways,Pakistan,O1,2037-05-31,0
345,Sikorsky S-43,No. 2,Chilean AF,Chile,A1,2037-06-02,9
346,Junkers Ju-52/3msai,ZS-AKY,South African Airways,South Africa,A1,2037-06-16,1
347,Junkers Ju-52/3m,22-66,HISMA,Spain,A1,2037-07-26,6
348,Douglas DC-2-115L,PH-ALF,KLM,Belgium,A1,2037-07-28,15
349,Junkers Ju-52/3m,XVIII,Eurasia,China,A1,2037-08-01,6
350,Sikorsky S-43B,NC15065,Panagra,Panama,A1,2037-08-02,14
351,Savoia-Marchetti S.73,I-SUSA,Ala Littoria,Sudan,A1,2037-08-02,9
352,Douglas DC-2-152,URSS-M25,"Aeroflot, International",Romania,A1,2037-08-06,6
353,Sikorsky S-43W,NC16930,CNAC,China,A1,2037-08-08,3
354,Douglas DC-2-112,NC13739,Eastern Air Lines,USA,A1,2037-08-10,4
355,Junkers Ju-52/3m,22-51,HISMA,Spain,U1,2037-08-14,6
356,Ford 5-AT-C Tri-Motor,NR9648,Republic Oil Co.,USA,A1,2037-08-21,0
357,Douglas DC-2-118A,NC14298,Panagra,Argentina,A1,2037-08-23,3
358,Junkers Ju-52/3m,22-61,HISMA,Spain,C1,2037-09-14,6
359,Curtiss T-32C Condor II,NC12364,Private,USA,O1,2037-09-27,0
360,Curtiss AT-32B Condor II,NC12394,American Airlines,USA,O1,2037-09-27,0
361,Curtiss AT-32D Condor II,NC12397,American Airlines,USA,O1,2037-09-27,0
362,Ford 5-AT-B Tri-Motor,LG-AAE,TACA Guatemala,Nicaragua,A1,2037-09-28,6
363,Short S.23 Empire Flying Boat Mk I,G-ADVC,Imperial Airways,Greece,A1,2037-10-01,3
364,Douglas DC-3-194B,PH-ALS,KLM,Indonesia,A1,2037-10-06,4
365,Junkers Ju-52/3m,22-62,HISMA,Spain,U1,2037-10-15,6
366,Douglas DC-3A-197,NC16074,United Airlines,USA,A1,2037-10-17,19
367,Junkers Ju-52/3m,S2+PO,German AF,Germany,A1,2037-10-25,6
368,Dewoitine D.333,F-ANQA,Air France,Morocco,A1,2037-10-27,6
369,Junkers Ju-52/3mge,OO-AUB,Sabena,Belgium,A1,2037-11-16,11
370,Douglas DC-2-115D,SP-ASJ,LOT,Bulgaria,A1,2037-11-23,6
371,Junkers Ju-52/3mfe,D-AGAV,Deutsche Lufthansa,U.K.,A1,2037-11-26,3
372,Junkers Ju-52/3mge,D-AFYV,DVL,Germany,A1,1937-11-01,6
373,Junkers Ju-52/3mte,D-AXAT,Deutsche Lufthansa,Germany,A1,2037-12-03,1
374,Short S.23 Empire Flying Boat Mk I,G-ADUZ,Imperial Airways,Italy,A1,2037-12-05,2
375,Potez 621,F-AOTZ,Air France,France,A1,2037-12-08,2
