,type,registration,operator,country,cat,new_date,new_fatalities
14857,Boeing 707-366C,SU-APE,EgyptAir,Switzerland,A1,1982-10-17,0
14858,Lockheed 18 Learstar I,N1040G,Vintage Sales Corp.,USA,A1,1982-10-18,3
14859,Lockheed L-1011 TriStar,8Q-MAG,TWA,USA,H2,1982-10-27,0
14860,Curtiss C-46 Super C,C-GIXZ,Ilford Riverton,Canada,A1,1982-10-31,0
14861,BN-2A Trislander Mk.III-1,HP-947,Aviones de Panama,Panama,U1,1982-11-01,6
14862,BN-2A-21 Islander,EP-PBE,Pars Air,Iran,A1,1982-11-03,1
14863,Embraer EMB-110P2 Bandeirante,P2-RDL,Talair,P.N. Guinea,A1,1982-11-04,0
14864,Learjet 24D,N13MJ,Duncan Aviation,USA,A2,1982-11-06,0
14865,BN-2A Islander,CS-AJO,Penina,Portugal,A1,1982-11-06,0
14866,Learjet 25,N47MJ,Duncan Aviation,USA,A2,1982-11-06,0
14867,Antonov An-24B,CCCP-47786,"Aeroflot, North Kavkaz",Turkey,H2,1982-11-07,0
14868,CASA/Nurtanio NC-212 Aviocar,PK-DCR,Deraya Air Taxi,Indonesia,A1,1982-11-08,6
14869,Swearingen SA226-AT Merlin IV,OY-AUI,Danair,Denmark,A1,1982-11-12,0
14870,Cessna 501 Citation I/SP,N2627U,Cessna Aircraft,USA,A1,1982-11-12,0
14871,Embraer C-95 Bandeirante (EMB-110),2182,Brazilian AF,Brazil,A1,1982-11-16,3
14872,Lockheed CC-130H Hercules,130329,Canadian Armed Forces,Canada,A1,1982-11-16,7
14873,Cessna 551 Citation II/SP,N2CA,Coin Acceptors,USA,A1,1982-11-18,3
14874,Antonov An-2R,CCCP-54883,"Aeroflot, Ukraine",Ukraine,A1,1982-11-18,0
14875,Antonov An-24V,SP-LTK,LOT,Germany,H2,1982-11-22,0
14876,Tupolev Tu-154B-2,HA-LCA,Malev,Poland,H2,1982-11-27,0
14877,Boeing 727-21,HK-2560,Aerotal Colombia,Colombia,A1,1982-11-29,0
